date,open,high,low,close,volume
10-01-2017,105.3383,105.3383,103.3338,103.8186,1572841
11-01-2017,103.9305,104.5085,103.0634,104.3966,1296628
12-01-2017,104.3221,105.4129,103.4083,104.9747,1155332
13-01-2017,105.2824,105.9257,104.3873,104.8162,838213
17-01-2017,104.3687,106.6623,104.3687,106.2334,1649427
18-01-2017,106.6809,106.8674,105.301,106.6623,1706817
19-01-2017,106.5131,107.4734,106.5038,106.6623,1027572
20-01-2017,107.0819,108.3032,106.6716,108.1541,1450517
23-01-2017,108.0608,108.4804,107.1285,108.2566,902982
24-01-2017,108.5084,109.2916,107.7438,109.0118,1100997
25-01-2017,109.478,112.387,109.0864,112.2844,1502653
26-01-2017,112.4802,113.944,112.4802,112.9278,1495942
27-01-2017,112.8532,112.9184,112.2751,112.5269,718552
30-01-2017,112.7879,112.7879,110.9978,112.4616,754208
31-01-2017,112.2285,113.0769,111.5665,112.0513,1283185
01-02-2017,112.5082,112.6387,111.0164,111.4826,764477
02-02-2017,111.1003,112.3963,110.76,112.2751,782877
03-02-2017,113.366,114.648,112.9185,114.3077,1118404
06-02-2017,113.8601,114.8391,113.6457,114.5687,1164614
07-02-2017,116.7784,119.7993,116.5453,117.3285,2341737
08-02-2017,117.4777,118.177,116.2097,116.6199,917887
09-02-2017,116.7411,117.9066,116.5644,117.6735,850334
10-02-2017,117.6735,118.0003,116.9742,117.7481,1056246
13-02-2017,118.3541,118.755,117.543,117.9718,1016643
14-02-2017,117.8133,118.8063,117.6688,118.3355,1254885
15-02-2017,117.9625,119.9764,117.7574,119.6501,908024
16-02-2017,119.5662,120.2375,118.8296,119.9112,832139
17-02-2017,119.6967,121.5987,119.3984,121.5708,1339162
21-02-2017,121.5055,122.3726,121.1419,121.9157,1273529
22-02-2017,121.5778,122.3728,121.5217,122.3167,906394
23-02-2017,121.9425,122.7656,121.0166,122.3167,713414
24-02-2017,121.6058,122.485,121.1195,122.3541,971038
27-02-2017,121.9893,122.2792,121.3534,121.5778,946656
28-02-2017,121.5871,121.7368,120.8576,121.0914,1432736
01-03-2017,122.616,122.7095,121.4188,121.5871,2468476
02-03-2017,121.7274,122.2325,121.3066,121.5871,2024651
03-03-2017,121.69,122.0921,121.0821,121.2504,1239226
06-03-2017,120.7641,122.3634,120.7641,121.9893,796810
07-03-2017,121.8303,122.7095,121.8303,122.2325,773605
08-03-2017,122.5785,122.7937,121.9051,122.1296,655630
09-03-2017,122.2792,123.0088,122.0548,122.5785,705320
10-03-2017,122.9901,123.5325,122.1951,123.1678,1166533
13-03-2017,123.4577,124.3462,123.4109,124.0095,871887
14-03-2017,123.7757,124.4678,123.0555,123.6167,619261
